Question,Class,Head,Head_POS,Neck_Label,Root_POS,PER,LOC,OBJ,TEM,NUM
What does RCA stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What is the abbreviation of the International Olympic Committee ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is Mikhail Gorbachev's middle initial ?,ABBR,What,WP,ROOT,VBZ,1,0,0,0,0
What does the '' blue ribbon '' stand for ?,ABBR,What,WP,aux,VBP,0,0,0,0,0
What does pH stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What does BUD stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
CPR is the abbreviation for what ?,ABBR,CPR,NNP,ROOT,VBZ,0,1,0,0,0
What does EKG stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does CPR stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What is the acronym for the rating system for air conditioner efficiency ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What is DSL ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
How did serfdom develop in and then leave Russia ?,DESC,How,WRB,aux,VB,0,1,0,0,0
How can I find a list of celebrities ' real names ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What are liver enzymes ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
Why do heavier objects travel downhill faster ?,DESC,Why,WRB,aux,RB,0,0,0,0,0
What did the only repealed amendment to the U.S. Constitution deal with ?,DESC,What,WP,ROOT,VBD,0,0,1,0,0
What is '' Nine Inch Nails '' ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is an annotated bibliography ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What's the Olympic motto ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the origin of the name ' Scarlett ' ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What do Mormons believe ?,DESC,What,WP,aux,VB,0,0,0,0,0
How can I register my website in Yahoo for free ?,DESC,How,WRB,aux,VB,0,1,0,0,0
How do they find or choose witnesses to an execution ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do you ask a total stranger out on a date ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is ethology ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Where did the term '' 86ed '' come from ?,DESC,Where,WRB,aux,VBN,0,0,1,0,0
What is the nature of learning ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the Kashmir issue ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What does '' extended definition '' mean and how would one write a paper on it ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is titanium ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is a caldera ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why do people get calluses ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What are Cushman and Wakefield known for ?,DESC,What,WP,auxpass,VBN,1,1,0,0,0
What is the history of skateboarding ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I make fuel bricks from recycled newspaper ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do I log on to home page at Headquarters U.S. European Command ?,DESC,How,WRB,aux,VB,0,1,0,0,0
What is the origin of head lice ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What causes the body to shiver in cold temperatures ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are bear and bull markets ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What is '' dew point '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the meaning of Jesus ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is the definition of a cascade ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the origin of the word '' attic '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What did Delilah do to Samson's hair ?,DESC,What,WP,aux,VB,1,0,0,0,0
How do you make a paintball ?,DESC,How,WRB,aux,VB,0,0,0,0,0
Where do chihuahuas come from ?,DESC,Where,WRB,aux,VB,0,0,0,0,0
What does the Georgetown '' Hoya '' mean ?,DESC,What,WP,aux,VB,0,1,0,0,0
How is the election of a new Pope announced to the world ?,DESC,How,WRB,ROOT,VBZ,0,0,0,0,0
How do chickens have baby chicks ?,DESC,How,WRB,aux,VBP,0,0,0,0,0
What is the historical relationship of Catholic Church and bingo ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
How was the element calcium named ?,DESC,How,WRB,ROOT,VBD,0,0,0,0,0
What is a transistor ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are equity securities ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What is gymnophobia ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How you can raise your IQ ?,DESC,How,WRB,nc,VB,0,0,0,0,0
What is a dental root canal ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are hook worms ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
Where did Indian Pudding come from ?,DESC,Where,WRB,aux,VB,1,0,0,0,0
Why do some clothing labels say '' Use a nonchlorine bleach '' ?,DESC,Why,WRB,aux,VBP,0,0,0,0,0
Why do horseshoes bring luck ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What causes pneumonia ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does gringo mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
How do I start a web based business ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is Eagle's syndrome styloid process ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
How did Jayne Mansfield die ?,DESC,How,WRB,aux,VB,1,0,0,0,0
What makes hamburgers taste like steakburgers ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How can I find out which cities have cable-modem access ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is Betsy Ross famous for ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is '' snoogans '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the design of the ship Titanic ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is the daily requirement of folic acid for an expectant mother ?,DESC,What,WP,ROOT,VBZ,0,0,0,1,0
What is the '' 7-minute cigarette '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do you correctly say the word ' qigong ' ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the filmmakers collabrative ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What caused Harry Houdini's death ?,DESC,What,WP,ROOT,VBD,1,0,0,0,0
What is the contents of proposition 98 ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,1
What is paracetamol ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the powers and weaknesses of Green Lantern's ring ?,DESC,What,WP,ROOT,VBP,1,0,0,0,0
What is the origin of the name Katie ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is a Canada two-penny black ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,1
How can I find out what year a Beanie Baby was introduced ?,DESC,How,WRB,aux,VB,1,0,0,1,0
What is the classic definition of tragic hero ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is molybdenum ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I find the balance of my social security account ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the history of Valentine's Day cards ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
How do you get to the top of the Eiffel Tower ?,DESC,How,WRB,aux,VB,0,0,0,0,0
Why is poop sometimes different colors ?,DESC,Why,WRB,ROOT,VBZ,0,0,0,0,0
How did the tradition of best man start ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How is silk screening done ?,DESC,How,WRB,auxpass,VBN,0,0,0,0,0
How do you match a name to a social security number ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How does a rainbow form ?,DESC,How,WRB,nc,NN,0,0,0,0,0
Hazmat stands for what ?,DESC,Hazmat,NNP,ROOT,VBZ,1,0,0,0,0
How do doctors diagnose bone cancer ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What causes the redness in your cheeks when you blush ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Define the Pheonix Club ?,DESC,Define,VB,np,VB,0,0,0,0,0
What does it mean '' Rupee Depreciates '' ?,DESC,What,WP,aux,VB,0,0,0,0,0
How successful is arometherapy ?,DESC,How,WRB,acomp,VBZ,0,0,0,0,0
How does a copier work ?,DESC,How,WRB,nc,NN,0,0,0,0,0
What is the function of RAM ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the use of a 24-hour clock instead of a 12-hour clock ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,1
What is dry ice ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does '' intractable plantar keratoma '' mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is the difference between a generator and an alternator ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How is energy created ?,DESC,How,WRB,auxpass,VBN,0,0,0,0,0
How is it correct to say ' qigong ' ?,DESC,How,WRB,ROOT,VBZ,0,0,0,0,0
Give a reason for American Indians oftentimes dropping out of school .,DESC,Give,VB,np,VB,1,0,0,0,0
What is the difference between classical conditioning and operant conditioning ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are some interesting facts and information about dogsledding ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What is Jane Goodall known for ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What does the name Billie mean ?,DESC,What,WP,aux,VB,0,1,0,0,0
What function does a community's water tower serve ?,DESC,What,WDT,np,VB,0,0,0,0,0
What does Inuit and Eskimo mean ?,DESC,What,WP,aux,VBP,1,0,0,0,0
How do I tie dye clothes ?,DESC,How,WRB,aux,VB,0,0,0,0,0
Why doesn 't www.answers.com have any answers to my questions ?,DESC,Why,WRB,np,VBP,0,0,0,0,0
What's nature's purpose for tornadoes ?,DESC,What,WP,np,VBZ,0,0,0,0,0
What makes popcorn pop ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are Maid-Rites ?,DESC,What,WP,ROOT,VBP,0,1,0,0,0
What do bee hives do in cranberry bogs ?,DESC,What,WP,aux,VBP,0,0,0,0,0
What caused the Lynmouth floods ?,DESC,What,WP,ROOT,VBD,1,0,0,0,0
Why is the grass green ?,DESC,Why,WRB,ROOT,VBZ,0,0,0,0,0
What is a firewall ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What do economists do ?,DESC,What,WP,aux,VB,0,0,0,0,0
What makes a clitoris sensitive ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is a nanometer ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does '' Janelle '' mean ?,DESC,What,WP,ROOT,VB,1,0,0,0,0
How do I get another city's newspaper ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What are the distinct physical characterstics of the Arabian horse ?,DESC,What,WP,ROOT,VBP,1,0,0,0,0
What is a wop ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Where do rocks come from ?,DESC,Where,WRB,aux,VB,0,0,0,0,0
How do I stop background noise in a car stereo ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is viscosity ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is a green bog ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What's an auberge in France ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
Why are the ears your center of balance ?,DESC,Why,WRB,ROOT,VBP,0,0,0,0,0
What does the name '' Justin '' mean ?,DESC,What,WP,intj,VB,0,1,0,0,0
What is the Amish religion ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is the '' coppertop '' battery ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is color ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How can I get some free technical information on Electric Vehicle ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,DESC,How,WRB,aux,JJ,1,0,0,0,0
What is a Jellicle Cat ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why did several San Diego schools stop serving apples to students ?,DESC,Why,WRB,aux,VBP,0,1,0,0,0
What makes a tornado turn ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What is artificial intelligence ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is white chocolate ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does the name Gina mean ?,DESC,What,WP,aux,VB,0,1,0,0,0
What are shooting stars ?,DESC,What,WP,aux,VBG,0,0,0,0,0
How is Easter Sunday's date determined ?,DESC,How,WRB,auxpass,VBN,0,0,0,1,0
What is the Motto for the State of Maryland ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
How can I find a phone number of someone if I only know their email address ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How can you contact play producers and promoters on-line ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What do players try to do when the music stops in a game of musical chairs ?,DESC,What,WP,aux,VB,0,0,0,0,0
Why is black the color of mourning in the West ?,DESC,Why,WRB,ROOT,VBZ,0,0,0,0,0
What does a nihilist believe in ?,DESC,What,WP,aux,VB,0,0,0,0,0
What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,DESC,What,WP,aux,VB,1,0,1,0,0
What are amphibians ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
How is a hydrogen bomb different from a nuclear bomb ?,DESC,How,WRB,ROOT,VBZ,0,0,0,0,0
What is Bombay duck ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is a virtual IP address ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What facial feature typically contains about 55 hairs ?,DESC,What,WDT,np,VBZ,0,0,0,0,1
How can I transport files from one computer to another ?,DESC,How,WRB,aux,VB,0,0,0,0,1
What happened during the Blackhawk Indian war of 1832 ?,DESC,What,WP,ROOT,VBD,1,0,0,0,0
What does the Latin ante mortem mean ?,DESC,What,WP,aux,VBP,1,0,0,0,0
What does the name Shawn mean ?,DESC,What,WP,ROOT,VB,1,0,0,0,0
How is Answers.com different from KnowPost.com ?,DESC,How,WRB,ROOT,VBZ,0,1,0,0,0
Why was the L.A. office of Shea and Gould closed ?,DESC,Why,WRB,ROOT,VBD,0,1,0,0,0
How do I start a bank ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do Ouija Boards work ?,DESC,How,WRB,aux,NN,0,0,0,1,0
How do you get a broken cork out of a bottle ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do you determine heating requirements for your home ?,DESC,How,WRB,aux,VB,0,0,0,0,0
Why did the chicken cross the road ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What is being done about the millennium bug ?,DESC,What,WP,aux,VBN,0,0,0,1,0
What was the claim to fame of King Camp Gillette ?,DESC,What,WP,ROOT,VBD,0,1,0,0,0
What is Olestra ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
How do you solve '' Rubik's Cube '' ?,DESC,How,WRB,aux,NNP,0,1,0,0,0
What is prepared mustard ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does '' antidisestablishmentarianism '' mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is Colin Powell best known for ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is measured in curies ?,DESC,What,WP,auxpass,VBN,0,0,0,0,0
What is Spumante ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is an isthmus ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What's the origin of the word ' news ' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do fuel injectors work ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How can your school march in the Macy's Thanksgiving Parade ?,DESC,How,WRB,nc,NN,0,1,0,0,0
What is a Certified Nurse Midwife ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is the origin of the expression '' tout de suite '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the purpose of a car bra ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is D.B. Cooper known for ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What does the name '' Anthony '' mean ?,DESC,What,WP,aux,VB,1,0,0,0,0
What is a rhomboideus minor ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why were people recruited for the Vietnam War ?,DESC,Why,WRB,auxpass,VBN,0,0,1,0,0
Why are electric cars less efficient in the northeast than in California ?,DESC,Why,WRB,ROOT,VBP,0,1,0,0,0
What are the living conditions in Cuba ?,DESC,What,WP,ROOT,VBP,0,1,0,0,0
What are the seven virtues ?,DESC,What,WP,ROOT,VBP,0,0,0,0,1
Why were the American soldiers in WWI called '' Doughboys '',DESC,Why,WRB,ROOT,VBD,1,1,0,0,0
What information can you get me on Fairground Park in St. Louis,DESC,What,WDT,np,VB,0,1,0,0,0
What is the difference between a median and a mean ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What makes thunder ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why did the world enter a global depression in 1929 ?,DESC,Why,WRB,aux,VB,0,0,0,1,0
What excuse did the NATO people give for hitting the Chinese embassy ?,DESC,What,WDT,np,VBP,1,1,0,0,0
What is the origin of the surname of Braun ?,DESC,What,WP,ROOT,VBZ,0,0,0,1,0
What is Australia Day ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What was the Chivington Massacre ?,DESC,What,WP,ROOT,VBD,0,1,0,0,0
What is the AIM-54C Phoenix ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is the definition of low island ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the difference between Neoclassical art and Romanticism art ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
How do you find oxidation numbers ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What are the Greek numerals ?,DESC,What,WP,ROOT,VBP,1,0,0,0,0
How do you look up criminal records on the Internet ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is an example of an actual case of using the Fourteenth Amendment ?,DESC,What,WP,ROOT,VBZ,0,0,1,0,0
Where did the term '' 86 '' come from ?,DESC,Where,WRB,aux,VBN,0,0,0,0,1
What causes someone to be ticklish ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why did several San Diego schools remove apples from students menus ?,DESC,Why,WRB,aux,VBP,0,1,0,0,0
What is '' the washed vodka '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why do recipe books recommend starting with cold water when you boil something ?,DESC,Why,WRB,nc,NN,0,0,0,0,0
What is the Immaculate Conception ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is Candlemas Day ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is a pyrotechnic display ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I find out about jobs ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the origin of the term '' The Brooklyn Side '' in bowling ?,DESC,What,WP,ROOT,NNP,0,0,1,0,0
How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,DESC,How,WRB,aux,VB,0,1,0,1,0
How does Zatanna perform her magic in DC comics ?,DESC,How,WRB,aux,VB,1,1,0,0,0
How do you get dates with the '' Hooters '' girls ?,DESC,How,WRB,aux,VB,0,1,0,0,0
How can I get a comic character I made copyrighted and published ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is Plc ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is a hyperlink ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Where did marijuana come from ?,DESC,Where,WRB,aux,VB,0,0,0,0,0
What does Elysium mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is Shalom ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do you get rid on woodpeckers ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the origin of thank you notes ?,DESC,What,WP,ccomp,NNS,0,0,0,0,0
How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the executor in a will ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the difference between microprocessors & microcontrollers ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the proof that houseplants metabolize carcinogens ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What prompted the co-pilot of the Enola Gay to enter only '' My God '' in his log ?,DESC,What,WP,ROOT,NNP,0,1,0,0,0
What is the history of '' the toast '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is an arab strap ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why did Egyptians shave their eyebrows ?,DESC,Why,WRB,aux,VB,1,0,0,0,0
What causes rust ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why do people in the upper peninsula of Michagin say '' eh ? '' ?,DESC,Why,WRB,aux,VBP,0,1,0,0,0
What is a handheld PC ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What did John Hinckley do to impress Jodie Foster ?,DESC,What,WP,aux,VB,1,0,0,0,0
What was unusual about Alexandra's appearance in Josie and the Pussycats ?,DESC,What,WP,ROOT,VBD,0,1,0,0,0
What is the origin of the word '' mind '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What happened to Moon Maiden ?,DESC,What,WP,ROOT,VBD,1,0,0,0,0
What are the Urals ?,DESC,What,WP,ROOT,VBP,0,1,0,0,0
How can you stop the itch from poison ivy ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do you tell your parents you are dating an older man ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,DESC,How,WRB,aux,VBP,0,0,0,1,0
